Issue Key|Summary|Issue Type|Status|Assignee|Reporter|Created|Updated|Priority|Description|Labels|Story Points|Sprint
ECOM-59299|Enhance microservice backend, optimize frontend Angular.|Bug|Open|DEV-Luca|PO-Giulia|2024-01-19|2024-01-21|Low|Task to microservice backend, frontend Angular, and backend Java. Unique task identifier: 28a8b8ea-512d-4050-bbef-205279a7891a.|functional, Materazzi|2|2
ECOM-53670|Enhance implementation, optimize ordering component.|Story|Done|DEV-Sergio|PO-Anna|2024-01-18|2024-01-27|High|Task to implementation, ordering component, and invoice component. Unique task identifier: 2ef7651b-a3b3-4dd5-8ba8-297dbf95f261.|functional, Materazzi|13|2
ECOM-37291|Enhance performance, optimize DevOps activities.|Bug|Open|DEV-Sergio|PO-Giulia|2024-01-20|2024-01-21|High|Task to performance, DevOps activities, and frontend Angular. Unique task identifier: 4b903abb-0ca2-4dc4-b213-6c7a91eecd67.|functional, Materazzi|1|2
ECOM-77076|Enhance ordering component, optimize invoice component.|Story|Open|DEV-Giulia|PO-Sergio|2024-01-25|2024-01-27|High|Task to ordering component, invoice component, and DevOps activities. Unique task identifier: 195a720c-c414-406d-ab72-fa19eb739e48.|functional, Materazzi|2|2
ECOM-64158|Enhance cart component, optimize microservice backend.|Bug|In Progress|DEV-Giulia|PO-Anna|2024-01-19|2024-01-20|Medium|Task to cart component, microservice backend, and backend Java. Unique task identifier: b910e060-280f-4907-9b41-4d5c5f1bdbba.|functional, Materazzi|1|2
ECOM-30009|Enhance cart component, optimize microservice backend.|Bug|Open|DEV-Luca|PO-Sergio|2024-01-18|2024-01-28|High|Task to cart component, microservice backend, and backend Java. Unique task identifier: 0adfd6aa-c41d-4f2f-b866-683261e54b74.|functional, Materazzi|20|2
ECOM-33202|Enhance microservice backend, optimize invoice component.|Bug|Done|DEV-Marco|PO-Francesca|2024-01-25|2024-01-30|High|Task to microservice backend, invoice component, and frontend Angular. Unique task identifier: 076670fe-e7a8-456e-81ef-139cc12b2960.|functional, Materazzi|5|2
ECOM-34603|Enhance design, optimize ordering component.|Task|In Progress|DEV-Sergio|PO-Marco|2024-01-22|2024-01-23|High|Task to design, ordering component, and invoice component. Unique task identifier: f9ba71fc-e21a-4eff-b81d-521a7801c5d3.|functional, Materazzi|1|2
ECOM-20353|Enhance ordering component, optimize cart component.|Bug|Done|DEV-Anna|PO-Luca|2024-01-21|2024-01-23|High|Task to ordering component, cart component, and DevOps activities. Unique task identifier: dcc7a8eb-bdbf-46d0-a320-fa12af26a464.|functional, Materazzi|2|2
ECOM-70316|Enhance performance, optimize backend Java.|Story|Done|DEV-Marco|PO-Luca|2024-01-16|2024-01-17|Medium|Task to performance, backend Java, and cart component. Unique task identifier: ffe78359-aa68-4418-bca4-409eea4456b8.|technical, Materazzi|1|2
ECOM-07102|Enhance microservice backend, optimize DevOps activities.|Story|Open|DEV-Sergio|PO-Marco|2024-02-04|2024-02-11|High|Task to microservice backend, DevOps activities, and performance. Unique task identifier: 9e22000b-1384-4cbb-a61b-a74e3794ef63.|functional, Materazzi|8|3
ECOM-77503|Enhance ordering component, optimize microservice backend.|Story|Open|DEV-Giulia|PO-Luca|2024-02-06|2024-02-13|Medium|Task to ordering component, microservice backend, and cart component. Unique task identifier: c4b65709-b1ef-40a1-9389-7a00f0b387f8.|functional, Materazzi|8|3
ECOM-54143|Enhance ordering component, optimize microservice backend.|Bug|In Progress|DEV-Anna|PO-Giulia|2024-02-07|2024-02-14|High|Task to ordering component, microservice backend, and implementation. Unique task identifier: 704b207b-a097-4058-9f8a-826d5cfe5c81.|functional, Materazzi|8|3
ECOM-61499|Enhance design, optimize cart component.|Task|Done|DEV-Francesca|PO-Marco|2024-02-05|2024-02-12|High|Task to design, cart component, and frontend Angular. Unique task identifier: ad0298f9-6fd9-434b-8c2d-be07efe9c414.|technical, Materazzi|8|3
ECOM-19166|Enhance implementation, optimize DevOps activities.|Bug|Open|DEV-Sergio|PO-Anna|2024-02-04|2024-02-14|High|Task to implementation, DevOps activities, and design. Unique task identifier: fc3b2747-4a66-4ea9-aaaa-8d2854fd2cce.|functional, Materazzi|20|3
ECOM-14974|Enhance invoice component, optimize backend Java.|Story|Open|DEV-Luca|PO-Sergio|2024-02-06|2024-02-16|High|Task to invoice component, backend Java, and performance. Unique task identifier: c29b7ef3-65ce-40fa-aba2-8409b798fa1c.|functional, Materazzi|20|3
ECOM-58251|Enhance ordering component, optimize frontend Angular.|Bug|Done|DEV-Sergio|PO-Marco|2024-01-31|2024-02-03|Low|Task to ordering component, frontend Angular, and microservice backend. Unique task identifier: 162d18cb-7198-48ef-a8c5-8cb1a0336ce3.|functional, Materazzi|3|3
ECOM-33079|Enhance backend Java, optimize design.|Task|In Progress|DEV-Giulia|PO-Anna|2024-01-29|2024-01-30|Medium|Task to backend Java, design, and performance. Unique task identifier: 5c2d99b0-dfa8-43cb-81a2-1eeb6596d509.|functional, Materazzi|1|3
ECOM-10599|Enhance design, optimize frontend Angular.|Bug|Done|DEV-Giulia|PO-Anna|2024-02-02|2024-02-05|Low|Task to design, frontend Angular, and microservice backend. Unique task identifier: 28a9701d-ecd7-43eb-b786-c4db5dc6e9d9.|functional, Materazzi|3|3
ECOM-90022|Enhance design, optimize microservice backend.|Bug|Open|DEV-Marco|PO-Anna|2024-02-08|2024-02-09|Low|Task to design, microservice backend, and backend Java. Unique task identifier: c72ae329-bc9f-4760-88c6-94441553ad6a.|functional, Materazzi|1|3
